case:concept:name,simulation_index,recommended_activity,recommended_resource,first_batch,match_recommendation,status
20191014118,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014120,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014123,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014128,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191014130,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014131,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014132,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014134,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014136,1,Service closure Request with network responsibility,00501,Service closure Request with network responsibility / 00501,True,ok
20191014139,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191014141,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014142,1,Authorization Requested,00501,Authorization Requested / 00501,True,ok
20191014145,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014146,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014148,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014149,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014151,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014152,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191014157,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191014161,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014163,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014164,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014172,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014176,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014177,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014183,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014186,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014189,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014190,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191014192,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014194,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014195,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014196,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
20191014197,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014198,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014201,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014202,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014203,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014207,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014210,1,Evaluating Request (WITH registered letter),00504,Evaluating Request (WITH registered letter) / 00504,True,ok
20191014212,1,Evaluating Request (WITH registered letter),00501,Authorization Requested / 00427,False,ok
20191014215,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014219,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014220,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014221,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014222,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014223,1,Service closure Request with network responsibility,00501,Service closure Request with network responsibility / 00501 | Service closure Request with BO responsibility / BOC,True,ok
20191014224,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014225,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014231,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191014235,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014236,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014238,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014241,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014246,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014247,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014248,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014250,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014252,1,Service closure Request with network responsibility,00501,Service closure Request with network responsibility / 00501,True,ok
20191014255,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014257,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014258,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
20191014259,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014261,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014263,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014264,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014265,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191014266,1,Pending Liquidation Request,SDCRAP,Pending Liquidation Request / SDCRAP,True,ok
20191014268,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014274,1,Evaluating Request (WITH registered letter),00147,Authorization Requested / 00228,False,ok
20191014277,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014280,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191014281,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014283,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014284,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014285,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014288,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191014289,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014291,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014292,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014294,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
20191014297,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014298,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014300,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014302,1,Authorization Requested,00594,Authorization Requested / 00594,True,ok
20191014305,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
20191014307,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014309,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014310,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014314,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191014317,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014318,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014319,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014321,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191014322,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014323,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014326,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014327,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014331,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191014336,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014337,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191014338,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
