case:concept:name,inserted_activities,reason
Application_1653948637,A_Complete,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1702878962,O_Returned,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1719668477,O_Accepted;A_Pending,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_175766876,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1774753524,A_Validating;O_Accepted;A_Pending,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1779483865,O_Sent (mail and online);A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1852628062,O_Sent (mail and online);A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1859379497,W_Validate application;W_Validate application,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1885469174,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_1890584729,O_Accepted;A_Pending,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_200571610,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_2037628374,A_Complete,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_2068346638,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_2074797883,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_2139351766,O_Returned,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_32426870,W_Validate application,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_333578134,A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_37796637,A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_510414837,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_568657523,A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_626804169,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_74640015,O_Sent (mail and online),"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_778393530,A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_825188863,A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_848190586,A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_95006764,O_Sent (mail and online);A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_956215142,A_Complete;A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
Application_983709263,A_Cancelled,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
