case_study,k,n,model_mae_days,dummy_mae_days
bpi17_before,33,22,1.9464758869932701,3.435345552555698
bpi17_before,34,17,1.959058632732993,3.4972315998535306
bpi17_before,35,15,1.903816787000023,3.1516146927141784
bpi17_before,36,14,1.7968431397997455,2.821284985780423
bpi17_before,37,11,0.7208763729984721,1.4968428722643097
bpi17_before,38,9,0.666112463493109,1.3981792810537146
bpi17_before,39,7,0.7426670202229511,1.6234017247437167
bpi17_before,40,6,0.8352618989872855,1.495216854423868
bpi17_before,41,5,0.728228395065727,0.4935887445987655
bpi17_before,42,4,0.8185295882717151,0.4401428096064815
bpi17_before,43,2,1.679779369721576,0.5041743761574073
bpi17_before,44,2,0.3651933599181184,0.009051018518518517
bpi17_before,45,2,0.0015940317767579864,1.501736111111111e-06
bpi17_before,46,2,0.005728507574541867,1.6232638888888887e-06
bpi17_before,47,2,0.010689980032828526,1.646412037037037e-06
bpi17_before,48,2,0.46436362521007396,1.3310185185185186e-07
bpi17_before,49,1,0.004059987726236642,1.3888888888888888e-07
bpi17_after,2,1996,15.411640694761896,12.389178933011703
bpi17_after,3,1996,15.027624931521485,12.395111348516307
bpi17_after,4,1996,13.652556629704366,12.052213855089247
bpi17_after,5,1996,13.48704023416037,11.930201442559698
bpi17_after,6,1996,13.38694410963828,11.91279131411792
bpi17_after,7,1994,13.285248673600528,11.8974137779466
bpi17_after,8,1994,10.942138659322444,12.350704062388324
bpi17_after,9,1976,8.157678813967125,13.389654388318696
bpi17_after,10,1627,8.394100398204603,12.097826794664739
bpi17_after,11,1387,8.582558333205837,12.349719024211561
bpi17_after,12,1268,7.21659828971113,10.7247753931654
bpi17_after,13,1114,6.241466542463031,8.918093179935195
bpi17_after,14,907,6.516857586667226,8.966835745274611
bpi17_after,15,724,6.179884224937754,8.443255298406521
bpi17_after,16,610,5.667505429712305,7.735046855205653
bpi17_after,17,513,5.35441586464985,7.41569865969599
bpi17_after,18,418,4.841420872502639,6.7709129802557575
bpi17_after,19,339,4.425066979525723,6.114807230398367
bpi17_after,20,272,4.471437631861816,6.2488741919945845
bpi17_after,21,219,4.346467005182497,5.926679992280979
bpi17_after,22,179,3.8132722081061323,5.598705867778606
bpi17_after,23,140,3.6863890566483826,5.471005313258257
bpi17_after,24,103,2.7599432690807544,4.796225111974968
bpi17_after,25,78,2.897536074593651,4.6413363212051975
bpi17_after,26,58,3.1256140170588944,5.196903952052666
bpi17_after,27,46,2.060796668310739,3.6086743472492238
bpi17_after,28,34,2.088692001093631,3.673269817835082
bpi17_after,29,32,1.8884242741573325,3.3530952757425982
bpi17_after,30,23,1.602073246110814,2.7221537564412235
bpi17_after,31,21,1.3990817808152503,2.379441231377054
bpi17_after,32,14,1.6786841690940093,2.186913242669753
bpi17_after,33,11,0.6138547839127537,0.7934940256734009
bpi17_after,34,7,1.6931740790300032,0.6389565488000757
bpi17_after,35,4,2.946341371503614,0.6787608376736111
bpi17_after,36,4,2.0085353164730027,0.8493954542824075
bpi17_after,37,3,1.8236884344241655,0.7703004687499998
bpi17_after,38,2,1.947089238179153,0.48575324266975306
bpi17_after,39,2,2.2509600627990896,1.455837037037037
bpi17_after,40,2,2.6600527917506755,0.48081794560185187
bpi17_after,41,2,1.7042351278640828,0.4808117650462963
bpi17_after,42,1,4.72088563584818,0.9614815162037038
bpi17_after,43,1,3.9179002807195027,0.04949917824074074
bpi17_after,44,1,0.7914675166472644,0.04939849537037037
bpi17_after,45,1,0.3750718384076622,3.4374999999999997e-06
bpi17_after,46,1,0.1879493108317204,13.76044326183854
bpi17_after,47,1,1.3407849924561128,13.76044607433854
bpi17_after,48,1,0.2439186099513489,13.760446166931134
bpi17_after,49,1,0.2286596450071103,13.760446259523725
bpi17_after,50,1,0.0809381564666686,13.76044638683854
bpi17_after,51,1,0.08093826063333527,13.760446491005208
bpi17_after,52,1,0.08093834165185379,13.760446572023726
